month,division,line,num_sched_trains,num_actual_trains,service delivered
2015-01,A DIVISION,4,2750,2552,0.928
2015-01,B DIVISION,JZ,1020,1012,0.9922
2015-01,B DIVISION,F,2886,2752,0.9536
2015-01,A DIVISION,7,2450,2301,0.9392
2015-01,B DIVISION,R,1920,1920,1
2015-01,A DIVISION,6,1926,1723,0.8946
2015-01,A DIVISION,1,1630,1608,0.9865
2015-01,B DIVISION,B,1674,1633,0.9755
2015-01,B DIVISION,S Fkln,720,716,0.9944
2015-01,B DIVISION,M,1740,1582,0.9092
2015-01,A DIVISION,5,2528,2249,0.8896
2015-01,A DIVISION,2,2125,1988,0.9355
2015-01,B DIVISION,A,2525,2425,0.9604
2015-01,B DIVISION,N,1740,1708,0.9816
2015-01,B DIVISION,E,1550,1436,0.9265
2015-01,A DIVISION,S 42nd,2884,2772,0.9612
2015-01,A DIVISION,3,2057,1992,0.9684
2015-01,B DIVISION,G,880,877,0.9966
2015-01,B DIVISION,S Rock,440,438,0.9955
2015-01,B DIVISION,Q,1768,1729,0.9779
2015-01,B DIVISION,D,1738,1687,0.9707
2015-01,B DIVISION,L,1820,1765,0.9698
2015-01,B DIVISION,C,1500,1440,0.96
2015-02,B DIVISION,S Fkln,684,669,0.9781
2015-02,A DIVISION,S 42nd,2774,2749,0.991
2015-02,A DIVISION,6,2070,1789,0.8643
2015-02,A DIVISION,5,2432,2074,0.8528
2015-02,B DIVISION,Q,1676,1631,0.9732
2015-02,B DIVISION,D,1748,1710,0.9783
2015-02,B DIVISION,L,1729,1627,0.941
2015-02,A DIVISION,3,1945,1860,0.9563
2015-02,B DIVISION,N,1653,1624,0.9825
2015-02,B DIVISION,M,1653,1549,0.9371
2015-02,B DIVISION,C,1425,1361,0.9551
2015-02,B DIVISION,G,836,833,0.9964
2015-02,B DIVISION,R,1823,1815,0.9956
2015-02,B DIVISION,E,1404,1312,0.9345
2015-02,A DIVISION,7,2080,1937,0.9313
2015-02,A DIVISION,2,2017,1834,0.9093
2015-02,B DIVISION,JZ,969,935,0.9649
2015-02,B DIVISION,A,2410,2312,0.9593
2015-02,B DIVISION,F,2755,2634,0.9561
2015-02,B DIVISION,B,1584,1544,0.9747
2015-02,A DIVISION,1,1570,1510,0.9618
2015-02,B DIVISION,S Rock,414,416,1.0048
2015-02,A DIVISION,4,2659,2482,0.9334
2015-03,B DIVISION,E,1716,1602,0.9336
2015-03,A DIVISION,3,2277,2198,0.9653
2015-03,B DIVISION,L,2001,1943,0.971
2015-03,B DIVISION,D,2025,1989,0.9822
2015-03,B DIVISION,M,1914,1812,0.9467
2015-03,B DIVISION,JZ,1122,1099,0.9795
2015-03,B DIVISION,Q,1942,1925,0.9912
2015-03,A DIVISION,6,2398,2192,0.9141
2015-03,B DIVISION,B,1790,1733,0.9682
2015-03,A DIVISION,5,2816,2459,0.8732
2015-03,B DIVISION,A,2793,2647,0.9477
2015-03,A DIVISION,4,3080,2851,0.9256
2015-03,B DIVISION,N,1914,1891,0.988
2015-03,B DIVISION,S Fkln,756,732,0.9683
2015-03,A DIVISION,7,2331,2172,0.9318
2015-03,B DIVISION,G,968,963,0.9948
2015-03,B DIVISION,R,2112,2091,0.9901
2015-03,B DIVISION,C,1650,1557,0.9436
2015-03,A DIVISION,1,1825,1774,0.9721
2015-03,A DIVISION,S 42nd,3212,3117,0.9704
2015-03,B DIVISION,S Rock,480,472,0.9833
2015-03,A DIVISION,2,2364,2184,0.9239
2015-03,B DIVISION,F,3190,3083,0.9665
2015-04,B DIVISION,D,2024,1996,0.9862
2015-04,A DIVISION,3,2288,2244,0.9808
2015-04,B DIVISION,E,1716,1666,0.9709
2015-04,B DIVISION,F,3190,3116,0.9768
2015-04,B DIVISION,A,2794,2714,0.9714
2015-04,B DIVISION,L,1996,1939,0.9714
2015-04,B DIVISION,C,1575,1553,0.986
2015-04,B DIVISION,S Rock,484,483,0.9979
2015-04,B DIVISION,B,1848,1830,0.9903
2015-04,B DIVISION,Q,1940,1905,0.982
2015-04,A DIVISION,7,2332,2218,0.9511
2015-04,A DIVISION,S 42nd,3212,3148,0.9801
2015-04,A DIVISION,2,2376,2239,0.9423
2015-04,A DIVISION,4,3080,2926,0.95
2015-04,A DIVISION,1,1743,1740,0.9983
2015-04,B DIVISION,S Fkln,756,751,0.9934
2015-04,B DIVISION,JZ,1072,1051,0.9804
2015-04,B DIVISION,R,2112,2108,0.9981
2015-04,A DIVISION,6,2398,2198,0.9166
2015-04,A DIVISION,5,2816,2528,0.8977
2015-04,B DIVISION,G,924,919,0.9946
2015-04,B DIVISION,M,1914,1837,0.9598
2015-04,B DIVISION,N,1914,1904,0.9948
2015-05,B DIVISION,E,1560,1467,0.9404
2015-05,B DIVISION,G,876,886,1.0114
2015-05,A DIVISION,2,1944,1818,0.9352
2015-05,A DIVISION,4,2520,2340,0.9286
2015-05,A DIVISION,1,1494,1485,0.994
2015-05,A DIVISION,5,2304,2065,0.8963
2015-05,B DIVISION,S Fkln,684,681,0.9956
2015-05,B DIVISION,R,1920,1867,0.9724
2015-05,B DIVISION,M,1740,1640,0.9425
2015-05,B DIVISION,C,1425,1375,0.9649
2015-05,A DIVISION,6,1962,1828,0.9317
2015-05,B DIVISION,F,2900,2816,0.971
2015-05,B DIVISION,L,1815,1775,0.978
2015-05,B DIVISION,N,1740,1711,0.9833
2015-05,A DIVISION,3,1871,1832,0.9792
2015-05,A DIVISION,S 42nd,2482,2446,0.9855
2015-05,B DIVISION,A,2540,2434,0.9583
2015-05,B DIVISION,S Rock,418,422,1.0096
2015-05,B DIVISION,D,1840,1814,0.9859
2015-05,B DIVISION,JZ,1020,1010,0.9902
2015-05,A DIVISION,7,2600,2458,0.9454
2015-05,B DIVISION,B,1680,1637,0.9744
2015-05,B DIVISION,Q,1763,1713,0.9716
2015-06,B DIVISION,D,2116,2078,0.982
2015-06,A DIVISION,1,1743,1719,0.9862
2015-06,B DIVISION,S Fkln,792,758,0.9571
2015-06,B DIVISION,N,2001,1971,0.985
2015-06,B DIVISION,S Rock,506,515,1.0178
2015-06,B DIVISION,E,1794,1701,0.9482
2015-06,A DIVISION,5,2816,2495,0.886
2015-06,A DIVISION,6,2398,2186,0.9116
2015-06,A DIVISION,4,3080,2890,0.9383
2015-06,B DIVISION,G,1012,1023,1.0109
2015-06,B DIVISION,A,2921,2827,0.9678
2015-06,B DIVISION,M,1989,1888,0.9492
2015-06,B DIVISION,C,1725,1662,0.9635
2015-06,B DIVISION,F,3335,3303,0.9904
2015-06,B DIVISION,R,2186,2163,0.9895
2015-06,B DIVISION,B,1932,1903,0.985
2015-06,A DIVISION,2,2376,2204,0.9276
2015-06,A DIVISION,3,2288,2242,0.9799
2015-06,A DIVISION,7,2740,2607,0.9515
2015-06,B DIVISION,L,2093,2013,0.9618
2015-06,B DIVISION,JZ,1173,1145,0.9761
2015-06,B DIVISION,Q,2029,1984,0.9778
2015-06,A DIVISION,S 42nd,3194,3060,0.958
2015-07,A DIVISION,7,2794,2599,0.9302
2015-07,B DIVISION,E,1716,1605,0.9353
2015-07,A DIVISION,S 42nd,3212,3181,0.9903
2015-07,B DIVISION,A,2794,2714,0.9714
2015-07,B DIVISION,B,1848,1799,0.9735
2015-07,B DIVISION,S Fkln,792,780,0.9848
2015-07,B DIVISION,L,2002,1950,0.974
2015-07,A DIVISION,3,2288,2226,0.9729
2015-07,A DIVISION,6,2398,2255,0.9404
2015-07,A DIVISION,1,1816,1758,0.9681
2015-07,B DIVISION,C,1650,1604,0.9721
2015-07,B DIVISION,R,2079,2060,0.9909
2015-07,B DIVISION,JZ,1122,1110,0.9893
2015-07,B DIVISION,G,968,936,0.9669
2015-07,B DIVISION,D,2024,1991,0.9837
2015-07,A DIVISION,2,2376,2224,0.936
2015-07,A DIVISION,5,2816,2492,0.8849
2015-07,B DIVISION,N,1914,1883,0.9838
2015-07,B DIVISION,F,3183,3075,0.9661
2015-07,B DIVISION,Q,1943,1918,0.9871
2015-07,B DIVISION,M,1892,1798,0.9503
2015-07,A DIVISION,4,3080,2869,0.9315
2015-07,B DIVISION,S Rock,484,478,0.9876
2015-08,A DIVISION,S 42nd,3066,3018,0.9843
2015-08,B DIVISION,B,1764,1736,0.9841
2015-08,A DIVISION,6,2064,1941,0.9404
2015-08,B DIVISION,E,1605,1534,0.9558
2015-08,B DIVISION,S Rock,462,459,0.9935
2015-08,B DIVISION,C,1575,1562,0.9917
2015-08,A DIVISION,2,2268,2104,0.9277
2015-08,B DIVISION,G,924,914,0.9892
2015-08,B DIVISION,A,2667,2592,0.9719
2015-08,A DIVISION,1,1722,1645,0.9553
2015-08,A DIVISION,7,2670,2555,0.9569
2015-08,B DIVISION,R,1926,1931,1.0026
2015-08,B DIVISION,F,2985,2940,0.9849
2015-08,B DIVISION,M,1795,1758,0.9794
2015-08,B DIVISION,Q,1852,1832,0.9892
2015-08,B DIVISION,S Fkln,756,752,0.9947
2015-08,B DIVISION,JZ,1071,1028,0.9599
2015-08,B DIVISION,N,1827,1808,0.9896
2015-08,A DIVISION,4,2940,2704,0.9197
2015-08,A DIVISION,5,2688,2369,0.8813
2015-08,B DIVISION,L,1911,1853,0.9696
2015-08,B DIVISION,D,1932,1918,0.9928
2015-08,A DIVISION,3,2184,2115,0.9684
2015-09,B DIVISION,S Rock,462,465,1.0065
2015-09,A DIVISION,3,2184,2129,0.9748
2015-09,B DIVISION,G,924,898,0.9719
2015-09,B DIVISION,A,2667,2581,0.9678
2015-09,A DIVISION,5,2688,2438,0.907
2015-09,A DIVISION,7,2670,2500,0.9363
2015-09,A DIVISION,S 42nd,3054,2915,0.9545
2015-09,B DIVISION,B,1764,1709,0.9688
2015-09,B DIVISION,L,1911,1880,0.9838
2015-09,B DIVISION,R,2004,2007,1.0015
2015-09,B DIVISION,M,1819,1749,0.9615
2015-09,B DIVISION,E,1626,1553,0.9551
2015-09,A DIVISION,6,2249,2094,0.9311
2015-09,B DIVISION,JZ,1071,1049,0.9795
2015-09,A DIVISION,4,2940,2744,0.9333
2015-09,B DIVISION,C,1575,1522,0.9663
2015-09,B DIVISION,D,1932,1921,0.9943
2015-09,B DIVISION,S Fkln,756,730,0.9656
2015-09,B DIVISION,Q,1854,1834,0.9892
2015-09,B DIVISION,N,1827,1815,0.9934
2015-09,A DIVISION,1,1722,1702,0.9884
2015-09,A DIVISION,2,2268,2133,0.9405
2015-09,B DIVISION,F,3021,2979,0.9861
2015-10,B DIVISION,A,2794,2697,0.9653
2015-10,B DIVISION,Q,1938,1914,0.9876
2015-10,B DIVISION,N,1914,1896,0.9906
2015-10,A DIVISION,S 42nd,3110,3002,0.9653
2015-10,B DIVISION,F,3190,3160,0.9906
2015-10,B DIVISION,B,1848,1845,0.9984
2015-10,A DIVISION,4,3080,2833,0.9198
2015-10,A DIVISION,1,1804,1765,0.9784
2015-10,A DIVISION,2,2376,2229,0.9381
2015-10,B DIVISION,R,2112,2125,1.0062
2015-10,B DIVISION,S Rock,462,456,0.987
2015-10,B DIVISION,D,2024,2016,0.996
2015-10,B DIVISION,JZ,1122,1092,0.9733
2015-10,A DIVISION,6,2398,2124,0.8857
2015-10,A DIVISION,5,2816,2522,0.8956
2015-10,A DIVISION,7,2860,2714,0.949
2015-10,B DIVISION,C,1650,1595,0.9667
2015-10,B DIVISION,M,1914,1842,0.9624
2015-10,B DIVISION,E,1716,1639,0.9551
2015-10,A DIVISION,3,2288,2231,0.9751
2015-10,B DIVISION,G,968,963,0.9948
2015-10,B DIVISION,L,2002,1918,0.958
2015-10,B DIVISION,S Fkln,792,776,0.9798
2015-11,A DIVISION,1,1562,1524,0.9757
2015-11,A DIVISION,7,2340,2183,0.9329
2015-11,A DIVISION,3,1976,1929,0.9762
2015-11,B DIVISION,JZ,1020,997,0.9775
2015-11,B DIVISION,N,1740,1725,0.9914
2015-11,A DIVISION,5,2432,2176,0.8947
2015-11,B DIVISION,S Fkln,720,705,0.9792
2015-11,B DIVISION,C,1500,1454,0.9693
2015-11,B DIVISION,R,1920,1899,0.9891
2015-11,A DIVISION,2,2052,1922,0.9366
2015-11,B DIVISION,S Rock,440,439,0.9977
2015-11,B DIVISION,L,1820,1756,0.9648
2015-11,B DIVISION,F,2886,2841,0.9844
2015-11,B DIVISION,G,880,882,1.0023
2015-11,A DIVISION,4,2658,2459,0.9251
2015-11,B DIVISION,Q,1763,1714,0.9722
2015-11,B DIVISION,D,1830,1810,0.9891
2015-11,B DIVISION,E,1550,1474,0.951
2015-11,A DIVISION,6,2068,1895,0.9163
2015-11,A DIVISION,S 42nd,2774,2743,0.9888
2015-11,B DIVISION,B,1674,1663,0.9934
2015-11,B DIVISION,A,2525,2456,0.9727
2015-11,B DIVISION,M,1740,1672,0.9609
2015-12,B DIVISION,D,1896,1885,0.9942
2015-12,A DIVISION,4,3080,2906,0.9435
2015-12,B DIVISION,A,2667,2612,0.9794
2015-12,B DIVISION,C,1575,1537,0.9759
2015-12,B DIVISION,N,1827,1814,0.9929
2015-12,B DIVISION,G,924,936,1.013
2015-12,B DIVISION,E,1638,1545,0.9432
2015-12,B DIVISION,S Fkln,756,738,0.9762
2015-12,B DIVISION,M,1881,1778,0.9452
2015-12,B DIVISION,B,1764,1738,0.9853
2015-12,A DIVISION,6,2398,2201,0.9178
2015-12,A DIVISION,5,2688,2396,0.8914
2015-12,A DIVISION,S 42nd,3212,3152,0.9813
2015-12,B DIVISION,R,2016,1986,0.9851
2015-12,B DIVISION,Q,1851,1824,0.9854
2015-12,B DIVISION,L,2002,1939,0.9685
2015-12,A DIVISION,7,2730,2569,0.941
2015-12,B DIVISION,F,3045,2957,0.9711
2015-12,A DIVISION,1,1826,1796,0.9836
2015-12,A DIVISION,3,2288,2190,0.9572
2015-12,B DIVISION,S Rock,462,459,0.9935
2015-12,B DIVISION,JZ,1071,1030,0.9617
2015-12,A DIVISION,2,2376,2196,0.9242
2016-01,B DIVISION,N,1566,1521,0.9713
2016-01,A DIVISION,3,1966,1919,0.9761
2016-01,A DIVISION,1,1577,1558,0.988
2016-01,B DIVISION,Q,1592,1543,0.9692
2016-01,A DIVISION,7,2210,2079,0.9407
2016-01,B DIVISION,R,1729,1688,0.9763
2016-01,B DIVISION,S Fkln,648,647,0.9985
2016-01,B DIVISION,C,1350,1308,0.9689
2016-01,A DIVISION,S 42nd,2920,2885,0.988
2016-01,B DIVISION,B,1512,1470,0.9722
2016-01,A DIVISION,2,2037,1887,0.9264
2016-01,B DIVISION,D,1620,1613,0.9957
2016-01,B DIVISION,M,1620,1547,0.9549
2016-01,B DIVISION,L,1820,1746,0.9593
2016-01,B DIVISION,JZ,918,885,0.9641
2016-01,B DIVISION,E,1404,1346,0.9587
2016-01,A DIVISION,4,2660,2439,0.9169
2016-01,B DIVISION,F,2610,2538,0.9724
2016-01,B DIVISION,S Rock,392,393,1.0026
2016-01,A DIVISION,5,2426,2136,0.8805
2016-01,B DIVISION,G,792,793,1.0013
2016-01,B DIVISION,A,2284,2224,0.9737
2016-01,A DIVISION,6,1961,1781,0.9082
2016-02,B DIVISION,E,1560,1493,0.9571
2016-02,B DIVISION,N,1740,1712,0.9839
2016-02,B DIVISION,S Rock,440,438,0.9955
2016-02,B DIVISION,G,880,892,1.0136
2016-02,B DIVISION,C,1500,1469,0.9793
2016-02,B DIVISION,F,2900,2829,0.9755
2016-02,A DIVISION,2,2160,1993,0.9227
2016-02,B DIVISION,B,1680,1640,0.9762
2016-02,B DIVISION,Q,1768,1721,0.9734
2016-02,A DIVISION,4,2800,2591,0.9254
2016-02,B DIVISION,D,1800,1744,0.9689
2016-02,A DIVISION,6,2180,1918,0.8798
2016-02,B DIVISION,S Fkln,720,683,0.9486
2016-02,A DIVISION,5,2560,2265,0.8848
2016-02,B DIVISION,M,1800,1709,0.9494
2016-02,B DIVISION,L,1820,1755,0.9643
2016-02,A DIVISION,1,1660,1654,0.9964
2016-02,A DIVISION,3,2080,2014,0.9683
2016-02,B DIVISION,A,2540,2475,0.9744
2016-02,A DIVISION,7,2600,2371,0.9119
2016-02,B DIVISION,R,1920,1912,0.9958
2016-02,A DIVISION,S 42nd,2774,2761,0.9953
2016-02,B DIVISION,JZ,1020,981,0.9618
2016-03,A DIVISION,1,1909,1837,0.9623
2016-03,A DIVISION,S 42nd,3358,3315,0.9872
2016-03,A DIVISION,3,2392,2323,0.9712
2016-03,B DIVISION,A,2921,2845,0.974
2016-03,B DIVISION,E,1794,1732,0.9654
2016-03,A DIVISION,6,2457,2279,0.9276
2016-03,B DIVISION,JZ,1173,1134,0.9668
2016-03,B DIVISION,S Fkln,828,808,0.9758
2016-03,B DIVISION,D,2070,2051,0.9908
2016-03,B DIVISION,S Rock,506,510,1.0079
2016-03,B DIVISION,Q,2035,2002,0.9838
2016-03,A DIVISION,7,2860,2693,0.9416
2016-03,A DIVISION,5,2944,2657,0.9025
2016-03,B DIVISION,N,2001,1982,0.9905
2016-03,B DIVISION,F,3335,3271,0.9808
2016-03,B DIVISION,R,2208,2188,0.9909
2016-03,B DIVISION,C,1725,1638,0.9496
2016-03,A DIVISION,4,3218,3034,0.9428
2016-03,B DIVISION,G,1012,1017,1.0049
2016-03,B DIVISION,L,2093,2018,0.9642
2016-03,A DIVISION,2,2484,2325,0.936
2016-03,B DIVISION,B,1932,1906,0.9865
2016-03,B DIVISION,M,2070,1961,0.9473
2016-04,B DIVISION,M,1890,1808,0.9566
2016-04,A DIVISION,2,2268,2077,0.9158
2016-04,B DIVISION,Q,1858,1847,0.9941
2016-04,B DIVISION,N,1827,1813,0.9923
2016-04,A DIVISION,4,2940,2741,0.9323
2016-04,A DIVISION,6,2244,2062,0.9189
2016-04,B DIVISION,S Rock,462,460,0.9957
2016-04,B DIVISION,G,924,929,1.0054
2016-04,B DIVISION,D,1890,1866,0.9873
2016-04,A DIVISION,5,2688,2345,0.8724
2016-04,B DIVISION,S Fkln,720,711,0.9875
2016-04,A DIVISION,1,1743,1719,0.9862
2016-04,B DIVISION,R,2016,1987,0.9856
2016-04,B DIVISION,A,2667,2551,0.9565
2016-04,B DIVISION,E,1638,1519,0.9274
2016-04,B DIVISION,L,1911,1842,0.9639
2016-04,B DIVISION,B,1764,1722,0.9762
2016-04,A DIVISION,S 42nd,3066,3034,0.9896
2016-04,B DIVISION,F,3045,2947,0.9678
2016-04,A DIVISION,7,2600,2421,0.9312
2016-04,B DIVISION,C,1575,1500,0.9524
2016-04,B DIVISION,JZ,1071,1049,0.9795
2016-04,A DIVISION,3,2184,2085,0.9547
2016-05,B DIVISION,Q,1856,1820,0.9806
2016-05,A DIVISION,S 42nd,2774,2763,0.996
2016-05,B DIVISION,N,1827,1790,0.9797
2016-05,B DIVISION,R,2016,1989,0.9866
2016-05,B DIVISION,D,1890,1866,0.9873
2016-05,B DIVISION,M,1890,1820,0.963
2016-05,B DIVISION,B,1764,1758,0.9966
2016-05,B DIVISION,E,1638,1574,0.9609
2016-05,A DIVISION,3,2184,2105,0.9638
2016-05,A DIVISION,4,2940,2713,0.9228
2016-05,B DIVISION,G,902,889,0.9856
2016-05,A DIVISION,5,2688,2378,0.8847
2016-05,B DIVISION,JZ,1071,1042,0.9729
2016-05,B DIVISION,C,1575,1550,0.9841
2016-05,A DIVISION,2,2268,2105,0.9281
2016-05,B DIVISION,L,1911,1854,0.9702
2016-05,A DIVISION,7,2730,2556,0.9363
2016-05,A DIVISION,1,1743,1733,0.9943
2016-05,B DIVISION,S Fkln,756,751,0.9934
2016-05,B DIVISION,A,2667,2598,0.9741
2016-05,B DIVISION,F,3045,3004,0.9865
2016-05,A DIVISION,6,2246,2092,0.9314
2016-05,B DIVISION,S Rock,462,465,1.0065
2016-06,A DIVISION,5,2816,2520,0.8949
2016-06,A DIVISION,6,2382,2199,0.9232
2016-06,B DIVISION,E,1716,1615,0.9411
2016-06,B DIVISION,R,2126,2105,0.9901
2016-06,B DIVISION,B,1848,1812,0.9805
2016-06,A DIVISION,S 42nd,3212,3136,0.9763
2016-06,B DIVISION,JZ,1122,1085,0.967
2016-06,A DIVISION,2,2404,2203,0.9164
2016-06,B DIVISION,L,2002,1936,0.967
2016-06,B DIVISION,S Fkln,792,787,0.9937
2016-06,B DIVISION,S Rock,484,477,0.9855
2016-06,B DIVISION,F,3140,3070,0.9777
2016-06,B DIVISION,A,2808,2707,0.964
2016-06,A DIVISION,3,2288,2206,0.9642
2016-06,B DIVISION,C,1650,1583,0.9594
2016-06,A DIVISION,1,1826,1794,0.9825
2016-06,B DIVISION,M,1903,1825,0.959
2016-06,B DIVISION,G,941,934,0.9926
2016-06,B DIVISION,D,1980,1956,0.9879
2016-06,B DIVISION,Q,1940,1913,0.9861
2016-06,A DIVISION,4,3080,2874,0.9331
2016-06,B DIVISION,N,1942,1924,0.9907
2016-06,A DIVISION,7,2860,2691,0.9409
2016-07,B DIVISION,Q,1679,1642,0.978
2016-07,B DIVISION,E,1482,1419,0.9575
2016-07,A DIVISION,2,2090,1915,0.9163
2016-07,B DIVISION,M,1729,1628,0.9416
2016-07,A DIVISION,3,1976,1922,0.9727
2016-07,B DIVISION,A,2432,2343,0.9634
2016-07,A DIVISION,S 42nd,2628,2562,0.9749
2016-07,B DIVISION,C,1425,1343,0.9425
2016-07,B DIVISION,S Rock,418,423,1.012
2016-07,A DIVISION,4,2660,2479,0.932
2016-07,B DIVISION,B,1596,1572,0.985
2016-07,B DIVISION,G,837,857,1.0239
2016-07,A DIVISION,1,1577,1562,0.9905
2016-07,B DIVISION,R,1843,1811,0.9826
2016-07,B DIVISION,S Fkln,684,666,0.9737
2016-07,B DIVISION,L,1729,1668,0.9647
